Site_Name,State,Loc_Name,Start_Date,Target_Species,Plot_Name,Count_STRDRO,Count_HENSAN,Count_ASTRUB,Count_ASTFOR
Acadia NP,ME,Bass Harbor,6/21/2013,Echinoderms,X1,0,0,0,0
Acadia NP,ME,Bass Harbor,6/21/2013,Echinoderms,X2,0,0,0,0
Acadia NP,ME,Bass Harbor,6/21/2013,Echinoderms,X3,0,0,0,0
Acadia NP,ME,Bass Harbor,6/24/2013,Echinoderms,X1,0,0,0,0
Acadia NP,ME,Bass Harbor,6/24/2013,Echinoderms,X2,1,0,0,0
Acadia NP,ME,Bass Harbor,6/24/2013,Echinoderms,X3,0,0,0,0
Acadia NP,ME,Bass Harbor,6/21/2014,Echinoderms,X1,0,0,0,0
Acadia NP,ME,Bass Harbor,6/21/2014,Echinoderms,X2,12,0,1,0
Acadia NP,ME,Bass Harbor,6/21/2014,Echinoderms,X3,0,0,0,0
Acadia NP,ME,Otter Point,6/23/2013,Echinoderms,X1,0,0,2,0
Acadia NP,ME,Otter Point,6/23/2013,Echinoderms,X2,0,0,2,0
Acadia NP,ME,Otter Point,6/23/2013,Echinoderms,X3,5,0,1,0
Acadia NP,ME,Otter Point,6/19/2014,Echinoderms,X1,0,0,2,0
Acadia NP,ME,Otter Point,6/19/2014,Echinoderms,X2,9,0,13,0
Acadia NP,ME,Otter Point,6/19/2014,Echinoderms,X3,33,0,15,0
Acadia NP,ME,Schoodic Point,6/19/2013,Echinoderms,X1,30,0,2,0
Acadia NP,ME,Schoodic Point,6/19/2013,Echinoderms,X2,18,0,0,0
Acadia NP,ME,Schoodic Point,6/19/2013,Echinoderms,X3,1,0,0,0
Acadia NP,ME,Schoodic Point,6/17/2014,Echinoderms,X1,4,0,7,0
Acadia NP,ME,Schoodic Point,6/17/2014,Echinoderms,X2,10,0,1,0
Acadia NP,ME,Schoodic Point,6/17/2014,Echinoderms,X3,0,0,1,0
Acadia NP,ME,Schoodic Point,6/22/2014,Echinoderms,X1,24,0,2,0
Acadia NP,ME,Schoodic Point,6/22/2014,Echinoderms,X2,1,0,0,0
Acadia NP,ME,Schoodic Point,6/22/2014,Echinoderms,X3,0,0,0,0
Acadia NP,ME,Ship Harbor,6/22/2013,Echinoderms,X1,0,0,0,0
Acadia NP,ME,Ship Harbor,6/22/2013,Echinoderms,X2,0,0,0,0
Acadia NP,ME,Ship Harbor,6/22/2013,Echinoderms,X3,13,0,0,0
Acadia NP,ME,Ship Harbor,6/20/2014,Echinoderms,X1,0,0,0,0
Acadia NP,ME,Ship Harbor,6/20/2014,Echinoderms,X2,6,0,0,0
Acadia NP,ME,Ship Harbor,6/20/2014,Echinoderms,X3,37,0,5,0
Boston Harbor NRA,MA,Calf Island,6/26/2013,Echinoderms,X1,0,0,2,0
Boston Harbor NRA,MA,Calf Island,6/26/2013,Echinoderms,X2,0,0,1,0
Boston Harbor NRA,MA,Calf Island,6/26/2013,Echinoderms,X3,0,0,0,0
Boston Harbor NRA,MA,Calf Island,7/16/2014,Echinoderms,X1,0,0,0,1
Boston Harbor NRA,MA,Calf Island,7/16/2014,Echinoderms,X2,0,0,0,0
Boston Harbor NRA,MA,Calf Island,7/16/2014,Echinoderms,X3,0,0,0,0
Boston Harbor NRA,MA,Green Island,6/27/2013,Echinoderms,X1,0,0,48,1
Boston Harbor NRA,MA,Green Island,6/27/2013,Echinoderms,X2,0,0,14,0
Boston Harbor NRA,MA,Green Island,6/27/2013,Echinoderms,X3,0,0,1,0
Boston Harbor NRA,MA,Green Island,7/17/2014,Echinoderms,X1,0,0,93,0
Boston Harbor NRA,MA,Green Island,7/17/2014,Echinoderms,X2,0,0,0,0
Boston Harbor NRA,MA,Outer Brewster,8/13/2013,Echinoderms,X1,0,0,0,6
Boston Harbor NRA,MA,Outer Brewster,8/13/2013,Echinoderms,X2,2,0,0,1
Boston Harbor NRA,MA,Outer Brewster,8/13/2013,Echinoderms,X3,0,0,1,0
Boston Harbor NRA,MA,Outer Brewster,7/18/2014,Echinoderms,X1,0,0,0,0
Boston Harbor NRA,MA,Outer Brewster,7/18/2014,Echinoderms,X2,4,0,0,0
Boston Harbor NRA,MA,Outer Brewster,7/18/2014,Echinoderms,X3,0,0,1,0
Maine Coast Islands NWR,ME,Petit Manan Island,6/27/2014,Echinoderms,X1,0,0,0,0
Maine Coast Islands NWR,ME,Petit Manan Island,6/27/2014,Echinoderms,X2,0,0,0,0
